YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M
2023,06037462201,Census Tract 4622.01,Pasadena,Los Angeles County,California,Pasadena,1807,212,109,77,9,14,0,14,0,14,0,14,34,25,66,66,471,170,88,54,50,36,54,60,18,21,261,152,0,14,570,140,144,91,11,16,32,32,62,60,321,125,0,14,657,167,44,59,50,44,133,75,143,90,271,108,16,24
2023,06037462202,Census Tract 4622.02,Pasadena,Los Angeles County,California,Pasadena,1506,157,118,57,6,10,0,14,13,18,6,9,79,50,14,15,572,150,66,35,133,81,50,32,98,91,217,91,8,13,685,145,176,87,115,57,41,36,42,37,204,76,107,77,131,52,23,35,37,28,0,14,0,14,71,38,0,14
2023,06037462301,Census Tract 4623.01,Pasadena,Los Angeles County,California,Pasadena,1391,127,86,80,0,14,0,14,0,14,0,14,86,80,0,14,378,118,140,97,35,32,54,42,57,72,92,61,0,14,795,151,160,77,169,93,77,63,65,60,321,103,3,7,132,88,19,33,14,29,17,21,20,25,62,56,0,14
2023,06037462302,Census Tract 4623.02,Pasadena,Los Angeles County,California,Pasadena,1307,220,89,70,0,14,0,14,27,40,0,14,46,54,16,24,445,150,68,61,102,64,37,46,75,63,153,125,10,16,653,192,143,85,93,67,44,38,92,67,281,167,0,14,120,39,14,15,0,14,26,23,0,14,80,40,0,14
2023,06037462400,Census Tract 4624,Pasadena,Los Angeles County,California,Pasadena,537,116,24,29,0,14,0,14,0,14,0,14,24,29,0,14,158,62,45,35,20,34,19,30,33,36,41,43,0,14,289,96,51,35,57,46,56,47,0,14,83,50,42,59,66,52,0,14,38,43,9,15,0,14,13,20,6,10
2023,06037462500,Census Tract 4625,Pasadena,Los Angeles County,California,Pasadena,561,157,15,35,15,35,0,19,0,19,0,19,0,19,0,19,75,73,53,65,0,19,14,24,8,22,0,19,0,19,372,139,141,74,0,19,43,67,40,49,96,95,52,57,99,65,0,19,46,52,0,19,0,19,53,50,0,19
2023,06037462600,Census Tract 4626,Pasadena,Los Angeles County,California,Pasadena,280,95,0,14,0,14,0,14,0,14,0,14,0,14,0,14,28,24,0,14,12,18,0,14,0,14,9,12,7,12,239,92,96,70,34,34,38,35,27,36,31,33,13,18,13,14,7,11,0,14,0,14,0,14,6,9,0,14
2023,06037462700,Census Tract 4627,Pasadena,Los Angeles County,California,Pasadena,1685,281,22,38,0,19,0,19,0,19,0,19,0,19,22,38,435,252,86,69,93,99,0,19,59,78,166,204,31,49,916,255,205,154,21,28,121,97,122,91,417,172,30,35,312,208,19,31,0,19,92,151,18,28,183,136,0,19
2023,06037462800,Census Tract 4628,Pasadena,Los Angeles County,California,Pasadena,720,150,0,14,0,14,0,14,0,14,0,14,0,14,0,14,226,78,100,47,19,24,13,25,17,27,59,57,18,30,434,137,71,56,86,97,28,41,108,78,141,80,0,14,60,54,5,9,0,14,10,16,5,9,40,49,0,14
2023,06037462900,Census Tract 4629,Pasadena,Los Angeles County,California,Pasadena,284,107,0,14,0,14,0,14,0,14,0,14,0,14,0,14,66,58,0,14,0,14,0,14,66,58,0,14,0,14,138,77,42,36,17,19,11,17,32,48,36,42,0,14,80,66,50,60,8,13,8,14,0,14,7,12,7,12
